optimizer,epoch,sampled_arch,best_arch,train_acc,val_acc,test_acc,train_time,reward,loss,entropy,wall_time_sec
rl,6,"(0, 3, 0, 2, 3, 1)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8695999999999999,0.12730565667152405,9.628740310668945,0.17229970800000416
rl,7,"(4, 1, 3, 3, 0, 4)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.852,-0.05822641775012016,9.607609748840332,0.19643529200000387
rl,8,"(3, 2, 4, 3, 0, 4)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.866,0.07295353710651398,9.61569881439209,0.22051441700000396
rl,9,"(0, 2, 2, 1, 3, 1)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8911,0.3049291670322418,9.611173629760742,0.24474058300000223
rl,10,"(1, 1, 2, 1, 4, 2)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8864,0.23755326867103577,9.58121109008789,0.26883541700000535
rl,11,"(3, 1, 3, 2, 3, 1)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.853,-0.1404181867837906,9.60718822479248,0.29306266700000094
rl,12,"(4, 0, 1, 4, 0, 0)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.5692,-2.751807928085327,9.619614601135254,0.3171332500000048
rl,13,"(4, 3, 4, 2, 0, 1)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.6905,-1.4085369110107422,9.618940353393555,0.3413035000000022
rl,14,"(0, 0, 2, 2, 3, 2)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8987999999999999,0.6952060461044312,9.628341674804688,0.3653647500000048
rl,15,"(2, 0, 3, 2, 3, 4)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8858,0.5128387808799744,9.622512817382812,0.3895314170000006
rl,16,"(3, 3, 3, 1, 3, 4)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8703,0.30603834986686707,9.60373592376709,0.41378695800000287
rl,17,"(2, 3, 2, 4, 0, 3)","(2, 3, 0, 1, 3, 0)",99.976,90.52,90.52,8.88131445646286,0.8892,0.4432571232318878,9.614934921264648,0.43796666700000486
